ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
927 WOODBRIDGE ST FL 1,06/07/2019 12:00:00 AM,Duplex,1,1,6,31300,"(44.9692685, -93.10864342)"
1545 ETNA ST,04/04/2017 12:00:00 AM,Single Family Residential,2,6,2,30703,"(44.98794269, -93.04205102)"
1390 BEECH ST,02/05/2019 12:00:00 AM,Single Family Residential,1,7,4,34602,"(44.96206555, -93.04199864)"
692 6TH ST E,02/21/2019 12:00:00 AM,Single Family Residential,1,7,4,34400,"(44.95716927, -93.07179441)"
53 GERANIUM AVE W,02/13/2018 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.97569437, -93.10227012)"
935 IGLEHART AVE,03/23/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94957358, -93.13968929)"
1020 CARROLL AVE,03/12/2008 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.95012389, -93.14321129)"
1064 BUSH AVE,10/29/2019 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.9647582, -93.05565588)"
1350 HAGUE AVE,10/27/2017 12:00:00 AM,Single Family Residential,2,1,13,35200,"(44.94571273, -93.15721502)"
981 MENDOTA ST,09/21/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9708853, -93.06355502)"
714 WESTERN AVE N,08/08/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.96273657, -93.11597462)"
346 SHERBURNE AVE,04/25/2016 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95655446, -93.11462031)"
1067 COMO PLACE,04/16/2018 12:00:00 AM,Single Family Residential,2,5,10,31200,"(44.97333441, -93.13461986)"
1426 DESOTO ST,11/15/2019 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.98409977, -93.08092639)"
284 MAPLE ST,02/07/2020 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95618612, -93.06629569)"
1470 KENT ST,01/21/2020 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.98542697, -93.12343498)"
218 PASCAL ST N,04/10/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94787396, -93.16173635)"
1419 RANDOLPH AVE,05/31/2018 12:00:00 AM,Single Family Residential,2,3,14,36500,"(44.92713125, -93.16018378)"
1274 EDGERTON ST,12/14/2017 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97966256, -93.07588238)"
901 YORK AVE,08/21/2015 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.96861168, -93.06228504)"
433 ROBERT ST S,10/09/2017 12:00:00 AM,Commercial,2,2,3,37100,"(44.9328391, -93.0812451)"
2340 CHARLES AVE,11/04/2019 12:00:00 AM,Commercial,1,4,12,31900,"(44.9644177, -93.19592519)"
736 OAKDALE AVE,07/10/2019 12:00:00 AM,Commercial,1,2,3,37200,"(44.92386511, -93.07758793)"
1117 JENKS AVE,12/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9713994, -93.05344721)"
930 JESSAMINE AVE E,10/08/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.97465688, -93.06136553)"
225 WINIFRED ST W,07/11/2016 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.93149246, -93.09512042)"
578 SARATOGA ST S,12/21/2012 12:00:00 AM,Single Family Residential,1,3,15,36500,"(44.92410277, -93.16425534)"
578 LAFOND AVE,11/21/2017 12:00:00 AM,Single Family Residential,3,1,7,32600,"(44.96009853, -93.12460057)"
240 COTTAGE AVE W,03/25/2019 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.98263532, -93.11022338)"
2039 CASE AVE,03/05/2019 12:00:00 AM,Single Family Residential,1,6,2,31802,"(44.97046105, -93.01433602)"
657 SHERBURNE AVE,01/31/2017 12:00:00 AM,Single Family Residential,3,1,7,32500,"(44.95676679, -93.12795926)"
1138 FLANDRAU ST,04/24/2020 12:00:00 AM,Single Family Residential,1,6,2,31801,"(44.9756344, -93.02761602)"
1628 DARLENE ST,11/05/2013 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.99046729, -93.01862924)"
401 ROSE AVE E,08/23/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97658035, -93.08346431)"
975 REANEY AVE,02/11/2016 12:00:00 AM,Multi-family Residential,2,7,4,31701,"(44.9640966, -93.05940097)"
2173 MARGARET ST,06/11/2019 12:00:00 AM,Single Family Residential,2,7,1,34702,"(44.96142747, -93.00898512)"
444 PAGE ST E,06/14/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.92471475, -93.06676567)"
767 4TH ST E,01/09/2009 12:00:00 AM,Duplex,2,7,4,34500,"(44.9576794, -93.06707715)"
1143 WOODBRIDGE ST,05/02/2018 12:00:00 AM,Single Family Residential,3,5,6,30800,"(44.97551954, -93.10869364)"
1274 EDGERTON ST,12/14/2017 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97966256, -93.07588238)"
1803 MARGARET ST,01/23/2019 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96147472, -93.02413285)"
1523 ST ALBANS ST N,06/17/2019 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98699052, -93.12894387)"
702 WILSON AVE,01/15/2020 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.95286545, -93.06631087)"
365 MICHIGAN ST,07/12/1995 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.93495123, -93.1152883)"
1013 JAMESON ST,11/02/2016 12:00:00 AM,Duplex,2,5,10,31200,"(44.97169123, -93.13256022)"
869 5TH ST E,06/02/2016 12:00:00 AM,Commercial,1,7,4,33100,"(44.95954289, -93.06397101)"
1569 STILLWATER AVE,07/12/2019 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.96793435, -93.03420285)"
871 STICKNEY ST,12/07/2016 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.91970825, -93.0633428)"
1022 BURGESS ST,12/03/2019 12:00:00 AM,Single Family Residential,2,1,10,31200,"(44.96824697, -93.14325947)"
920 FREMONT AVE,06/13/2019 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95741496, -93.06171532)"
842 RICE ST,11/24/2010 12:00:00 AM,Commercial,2,1,6,31400,"(44.96672432, -93.10576695)"
867 FULLER AVE,06/25/2019 12:00:00 AM,Single Family Residential,1,1,8,33500,"(44.95408331, -93.13684089)"
1282 HAGUE AVE,10/23/2018 12:00:00 AM,Single Family Residential,3,1,13,35300,"(44.94569545, -93.1544906)"
255 UNIVERSITY AVE W,03/05/2018 12:00:00 AM,Commercial,1,1,7,32700,"(44.95594822, -93.11096351)"
439 HERSCHEL ST,08/10/2016 12:00:00 AM,Single Family Residential,2,4,13,33200,"(44.95451765, -93.1735684)"
213 BATES AVE,12/12/2018 12:00:00 AM,Commercial,2,7,4,34400,"(44.95280047, -93.06581868)"
2255 UPPER AFTON ROAD,05/13/2020 12:00:00 AM,Single Family Residential,1,7,1,37403,"(44.94119304, -93.00527401)"
1830 7TH ST E,05/22/2019 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96650875, -93.02324075)"
965 MISSISSIPPI RIVER BLVD S,08/01/2018 12:00:00 AM,Mixed Use,1,3,15,37601,"(44.91278959, -93.19796605)"
736 OAKDALE AVE,07/10/2019 12:00:00 AM,Commercial,1,2,3,37200,"(44.92386511, -93.07758793)"
1355 PAYNE AVE,01/06/2017 12:00:00 AM,Single Family Residential,2,6,5,30602,"(44.98216596, -93.07379823)"
953 WESTMINSTER ST,09/04/2019 12:00:00 AM,Single Family Residential,2,5,5,33000,"(44.96983085, -93.08572134)"
1610 ASHLAND AVE,10/17/2019 12:00:00 AM,Single Family Residential,1,4,13,35000,"(44.9438023, -93.16829222)"
821 AGATE ST,06/29/2018 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.96610849, -93.09440382)"
1525 MARSHALL AVE,05/07/2020 12:00:00 AM,Single Family Residential,2,1,13,33400,"(44.94866032, -93.16454694)"
605 STRYKER AVE,04/17/2018 12:00:00 AM,Commercial,2,2,3,37100,"(44.92770752, -93.08845653)"
955 BRADLEY ST,02/05/2016 12:00:00 AM,Single Family Residential,2,5,5,31500,"(44.96993624, -93.07878748)"
1093 6TH ST E,02/28/2019 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.96050469, -93.05426521)"
1549 HAZEL ST N,12/03/2019 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.9879978, -93.02034868)"
716 SIMS AVE,01/15/2020 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.9692391, -93.07033954)"
1525 DIETER ST,05/19/2020 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.98736762, -93.03691483)"
1694 EDMUND AVE,09/24/2019 12:00:00 AM,Duplex,1,4,11,32000,"(44.95822271, -93.17179952)"
247 RICHMOND ST,04/02/2020 12:00:00 AM,Single Family Residential,1,2,9,36900,"(44.93388359, -93.11860686)"
2075 SCUDDER ST,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.97876189, -93.18784545)"
536 IOWA AVE E,06/24/2008 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.98900799, -93.0781795)"
1153 GALTIER ST,05/18/2020 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97589925, -93.11124841)"
847 HUDSON ROAD,08/10/1999 12:00:00 AM,Commercial,3,7,4,34400,"(44.95238319, -93.06481546)"
1545 7TH ST W,04/21/2020 12:00:00 AM,Commercial,2,2,9,36700,"(44.91819947, -93.14127988)"
1514 VAN BUREN AVE,04/18/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96181861, -93.16455488)"
1199 BEECH ST,05/02/2018 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.96233123, -93.04984249)"
853 CONWAY ST,12/30/2010 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95595519, -93.06441724)"
1794 MINNEHAHA AVE E,06/14/2019 12:00:00 AM,Duplex,2,7,1,34701,"(44.96291445, -93.02457413)"
1941 UNIVERSITY AVE W,06/15/2018 12:00:00 AM,Mixed Use,2,4,11,31900,"(44.95813753, -93.18071391)"
1904 PRINCETON AVE,07/12/2007 12:00:00 AM,Single Family Residential,3,3,14,35100,"(44.93594881, -93.18080701)"
756 FULLER AVE,03/18/2020 12:00:00 AM,Single Family Residential,1,1,8,33500,"(44.95378781, -93.13218991)"
363 LAWSON AVE E,10/03/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97203672, -93.08503769)"
1800 MISSISSIPPI RIVER BLVD S,10/01/2019 12:00:00 AM,Single Family Residential,1,3,15,37601,"(44.89750076, -93.18396833)"
985 WOODBRIDGE ST,02/05/2014 12:00:00 AM,Single Family Residential,3,5,6,31300,"(44.97093948, -93.10868123)"
1011 BURNS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.94886992, -93.05771666)"
949 PAYNE AVE,09/07/2017 12:00:00 AM,Commercial,1,6,5,31500,"(44.96990716, -93.07369804)"
1079 MARYLAND AVE E,06/11/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9776901, -93.05486022)"
284 ALBERT ST S,04/12/2018 12:00:00 AM,Single Family Residential,2,3,14,36500,"(44.93297313, -93.15924514)"
495 KENNY ROAD,07/10/2019 12:00:00 AM,Commercial,2,5,5,33000,"(44.95748513, -93.07930334)"
412 GOODRICH AVE,12/31/2014 12:00:00 AM,Single Family Residential,3,2,9,36900,"(44.93759181, -93.11738559)"
54 HATCH AVE,06/11/2019 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.97098976, -93.10232849)"
225 WINIFRED ST W,07/11/2016 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.93149246, -93.09512042)"
677 PIERCE BUTLER ROUTE,01/23/2014 12:00:00 AM,Commercial,2,1,7,32400,"(44.96514262, -93.12870133)"
699 SNELLING AVE N,07/02/2019 12:00:00 AM,Commercial,2,4,11,32100,"(44.96222907, -93.16748896)"
378 JESSAMINE AVE E,04/27/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97448767, -93.08455649)"
1440 MARSHALL AVE,04/10/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94820282, -93.16124529)"
909 DESOTO ST,05/26/2020 12:00:00 AM,Single Family Residential,1,5,5,31500,"(44.96865658, -93.08137275)"
925 MAGNOLIA AVE E,06/29/2010 12:00:00 AM,Duplex,2,6,5,31100,"(44.9740335, -93.06147427)"
318 EDMUND AVE,10/04/2012 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.9583022, -93.11362018)"
792 ROSE AVE E,02/19/2020 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97647282, -93.06691482)"
1501 CLARENCE ST,05/04/2020 12:00:00 AM,Single Family Residential,2,6,2,30703,"(44.98673412, -93.04330766)"
1802 ROSS AVE,09/01/2010 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96563611, -93.02434001)"
228 FRONT AVE,06/21/2018 12:00:00 AM,Commercial,2,1,6,31300,"(44.97010925, -93.10960147)"
1004 THOMAS AVE,06/18/2013 12:00:00 AM,Duplex,2,1,7,32500,"(44.95920577, -93.14257873)"
1021 MINNEHAHA AVE E,03/02/2017 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.96314948, -93.05744411)"
1764 BUSH AVE,10/26/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96478404, -93.0259806)"
257 LAFOND AVE,07/18/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.96051938, -93.11100726)"
1811 MONTANA AVE E,07/25/2019 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.98759289, -93.02373283)"
318 WYOMING ST E,04/02/2020 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.92025487, -93.07188112)"
1144 FAIRMOUNT AVE,03/13/2019 12:00:00 AM,Single Family Residential,2,2,16,35300,"(44.93664925, -93.14848754)"
581 THOMAS AVE,06/06/2019 12:00:00 AM,Duplex,1,1,7,32600,"(44.9594387, -93.12479572)"
1508 COMO AVE,07/29/2003 12:00:00 AM,Duplex,2,4,10,30201,"(44.97712697, -93.16385771)"
1976 FAIRMOUNT AVE,11/06/2014 12:00:00 AM,Single Family Residential,2,4,14,34900,"(44.93684723, -93.18386002)"
1630 UNIVERSITY AVE W,09/11/2017 12:00:00 AM,Commercial,1,4,13,33400,"(44.95536474, -93.16902731)"
2210 EDGCUMBE ROAD,11/19/2019 12:00:00 AM,Single Family Residential,1,3,15,37500,"(44.9086126, -93.17277989)"
735 MARGARET ST,04/23/2010 12:00:00 AM,Multi-family Residential,3,7,4,33100,"(44.96132763, -93.06974182)"
963 WATSON AVE,12/10/2019 12:00:00 AM,Single Family Residential,1,2,9,36700,"(44.92430053, -93.1407266)"
663 3RD ST E,04/26/2011 12:00:00 AM,Multi-family Residential,2,7,4,34400,"(44.95479641, -93.07125461)"
1825 MECHANIC AVE,11/06/2017 12:00:00 AM,Duplex,2,6,2,31801,"(44.97312441, -93.02344732)"
689 PARKVIEW AVE,07/01/2019 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98385176, -93.12921824)"
560 CHARLES AVE,05/03/2019 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.95741776, -93.1240068)"
953 JENKS AVE,09/05/2019 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97136283, -93.06020049)"
174 PAGE ST W,05/31/2019 12:00:00 AM,Single Family Residential,3,2,3,37100,"(44.92447104, -93.09306414)"
1784 MONTANA AVE E,01/18/2019 12:00:00 AM,Commercial,1,6,2,30702,"(44.98734059, -93.02478535)"
1082 LOEB ST,10/03/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9737785, -93.12491004)"
282 WYOMING ST E,05/31/2013 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.92021451, -93.07362768)"
811 4TH ST E,10/30/2006 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95822343, -93.06589658)"
2079 MARGARET ST,12/12/2019 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.96147314, -93.01281707)"
1064 BUSH AVE,10/29/2019 12:00:00 AM,Single Family Residential,3,7,4,31701,"(44.9647582, -93.05565588)"
1895 ST ANTHONY AVE,08/20/2018 12:00:00 AM,Duplex,2,4,13,33200,"(44.95336764, -93.17990722)"
2531 EDGCUMBE ROAD,04/04/2017 12:00:00 AM,Single Family Residential,2,3,15,37601,"(44.90375774, -93.17750887)"
850 WHITE BEAR AVE N,11/16/2018 12:00:00 AM,Commercial,1,7,2,31801,"(44.9669877449914, -93.025133824385)"
395 MICHIGAN ST,05/15/1996 12:00:00 AM,Single Family Residential,3,2,9,36900,"(44.93525986, -93.11670931)"
1699 CLEAR AVE,06/26/2019 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.98219672, -93.02871565)"
2150 JAMES AVE,05/31/2019 12:00:00 AM,Single Family Residential,2,3,14,43000,"(44.92781008, -93.19118848)"
624 STATE ST,01/07/2020 12:00:00 AM,Duplex,1,2,3,37200,"(44.92735673, -93.07906806)"
2101 KNAPP ST,10/06/2011 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.97983527, -93.18917006)"
694 SHERBURNE AVE,08/06/2012 12:00:00 AM,Duplex,2,1,7,32500,"(44.95648896, -93.1295784)"
251 DAYTON AVE,10/12/2017 12:00:00 AM,Duplex,2,1,8,34000,"(44.94767826, -93.1104617)"
1033 REANEY AVE,08/15/2019 12:00:00 AM,Duplex,2,7,4,31701,"(44.96409945, -93.05698759)"
630 OHIO ST,07/06/2016 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.92703592, -93.09753069)"
377 MARYLAND AVE W,02/14/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97748001, -93.11595527)"
1091 ROSE AVE E,12/06/2019 12:00:00 AM,Single Family Residential,1,6,5,31100,"(44.97680236, -93.05442133)"
1411 ALBEMARLE ST,12/03/2019 12:00:00 AM,Single Family Residential,1,5,6,30400,"(44.98369079, -93.10736716)"
865 ATLANTIC ST,03/11/2016 12:00:00 AM,Commercial,2,6,4,31701,"(44.96735103, -93.04843771)"
53 GERANIUM AVE W,02/13/2018 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.97569437, -93.10227012)"
200 SYCAMORE ST W,07/03/2019 12:00:00 AM,Commercial,1,1,6,31300,"(44.9646338, -93.10819779)"
2056 NOKOMIS AVE,08/22/2019 12:00:00 AM,Single Family Residential,2,7,2,31802,"(44.96634659, -93.01422277)"
420 CEDAR ST,06/19/2009 12:00:00 AM,Commercial,2,2,17,34201,"(44.94766356, -93.09428778)"
56 VICTORIA ST N,11/27/2019 12:00:00 AM,Single Family Residential,2,1,8,42900,"(44.94338649, -93.13631267)"
975 HUDSON ROAD,11/19/2015 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95237257, -93.05925407)"
1080 UNIVERSITY AVE W,04/30/2015 12:00:00 AM,Commercial,2,1,8,33500,"(44.95554313, -93.14547304)"
1992 WELLESLEY AVE,08/27/2018 12:00:00 AM,Single Family Residential,1,3,14,36300,"(44.93143906, -93.18449933)"
680 MINNEHAHA AVE E BLDG 3,07/21/2005 12:00:00 AM,Multi-family Residential,2,,,,"(44.96289144, -93.07224302)"
1600 7TH ST W,06/26/2018 12:00:00 AM,Commercial,2,2,9,36700,"(44.91650854, -93.14238354)"
50 FILLMORE AVE E,02/26/2008 12:00:00 AM,Commercial,2,2,3,37100,"(44.9402142051823, -93.087190229936)"
994 GOODRICH AVE,10/13/2017 12:00:00 AM,Duplex,2,2,16,35700,"(44.93768091, -93.14192772)"
1670 ARLINGTON AVE E,05/04/2020 12:00:00 AM,Single Family Residential,1,6,2,30704,"(44.98453419, -93.02988975)"
706 CONWAY ST,11/27/2012 12:00:00 AM,Duplex,2,7,4,34400,"(44.95482796, -93.06825796)"
109 LEXINGTON PKWY N,06/25/2019 12:00:00 AM,Single Family Residential,2,1,13,35300,"(44.94463364, -93.14698308)"
975 MARSHALL AVE,06/27/2017 12:00:00 AM,Single Family Residential,3,1,8,33800,"(44.94873562, -93.14117343)"
771 IOWA AVE W,07/22/2011 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98931388, -93.1324226)"
368 SHERBURNE AVE,09/06/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95653674, -93.115661)"
1020 CARROLL AVE,03/12/2008 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.95012389, -93.14321129)"
884 WESTMINSTER ST,12/12/2018 12:00:00 AM,Single Family Residential,2,5,5,33000,"(44.96783397, -93.08529411)"
1205 COOK AVE E,03/10/2020 12:00:00 AM,Single Family Residential,1,6,5,31600,"(44.97321105, -93.04961102)"
1119 RAYMOND AVE UNIT 2,06/07/2017 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.97563186, -93.19288193)"
901 YORK AVE,08/21/2015 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.96861168, -93.06228504)"
1816 MINNEHAHA AVE E,09/22/2017 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96285703, -93.02377133)"
610 LARPENTEUR AVE E,04/03/2019 12:00:00 AM,Duplex,2,6,5,30602,"(44.99175214, -93.0748853)"
999 PAYNE AVE,08/13/2014 12:00:00 AM,Commercial,2,6,5,31000,"(44.97140757, -93.07366658)"
1033 GALTIER ST,09/10/2015 12:00:00 AM,Duplex,2,5,6,30800,"(44.9725273, -93.11130473)"
253 UNIVERSITY AVE W,03/05/2018 12:00:00 AM,Commercial,1,1,7,32700,"(44.95595409, -93.1108941)"
1726 4TH ST E,05/01/2020 12:00:00 AM,Duplex,2,7,1,34701,"(44.95846005, -93.02746829)"
1596 HOYT AVE E,04/21/2016 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.98819495, -93.03306174)"
476 STINSON ST,09/25/2019 12:00:00 AM,Single Family Residential,2,1,6,31300,"(44.96912132, -93.12027649)"
1034 BRADLEY ST,08/15/2019 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97243979, -93.07846909)"
1349 SCHLETTI ST,01/25/2018 12:00:00 AM,Single Family Residential,1,5,6,30400,"(44.98186847, -93.12264691)"
436 GRIFFITH ST,02/18/2020 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.95465634, -93.0497116)"
917 FREMONT AVE,08/29/2018 12:00:00 AM,Duplex,2,7,4,34500,"(44.95772828, -93.06177017)"
1503 VAN BUREN AVE,12/13/2018 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.9621339, -93.16409394)"
1426 DESOTO ST,11/15/2019 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.98409977, -93.08092639)"
1419 RANDOLPH AVE,05/31/2018 12:00:00 AM,Single Family Residential,2,3,14,36500,"(44.92713125, -93.16018378)"
1519 MARSHALL AVE,05/07/2020 12:00:00 AM,Single Family Residential,2,1,13,33400,"(44.94866239, -93.1644129)"
854 EDMUND AVE,12/29/2016 12:00:00 AM,Duplex,2,1,7,32500,"(44.95826839, -93.13620405)"
2200 LARPENTEUR AVE E,11/20/2018 12:00:00 AM,Commercial,2,6,2,30702,"(44.99087821, -93.00838026)"
556 RICE ST,06/23/2010 12:00:00 AM,Commercial,2,1,7,42800,"(44.95815973, -93.10577844)"
887 CHARLES AVE,12/02/2019 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95766869, -93.1376697)"
830 IGLEHART AVE,03/22/2011 12:00:00 AM,Duplex,2,1,8,33800,"(44.94931386, -93.13538365)"
422 JESSAMINE AVE E,09/28/2017 12:00:00 AM,Duplex,2,5,5,30900,"(44.97447497, -93.08291526)"
925 COOK AVE E,03/17/2017 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97313382, -93.06155162)"
740 TATUM ST,07/14/2014 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.96343722, -93.1796323)"
903 YORK AVE,06/13/2018 12:00:00 AM,Duplex,2,6,5,31600,"(44.96882435, -93.06206537)"
875 HAGUE AVE,04/10/2018 12:00:00 AM,Duplex,2,1,8,42900,"(44.94591165, -93.13716976)"
879 6TH ST E,11/04/2008 12:00:00 AM,Single Family Residential,2,7,4,33100,"(44.96044535, -93.06336716)"
1545 ETNA ST,04/04/2017 12:00:00 AM,Single Family Residential,2,6,2,30703,"(44.98794269, -93.04205102)"
288 AVON ST N,05/13/2020 12:00:00 AM,Single Family Residential,1,1,8,33900,"(44.94998782, -93.13306675)"
670 SIMS AVE,06/24/2014 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.96922321, -93.07225507)"
733 FAIRVIEW AVE N,09/04/2014 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.96326982, -93.1774066)"
554 CHARLES AVE,02/15/2018 12:00:00 AM,Duplex,2,1,7,32600,"(44.95743833, -93.12344986)"
1626 ENGLEWOOD AVE,08/16/2007 12:00:00 AM,Multi-family Residential,2,4,11,32100,"(44.96387699, -93.1690929)"
1446 RICE ST,07/16/2019 12:00:00 AM,Commercial,1,5,6,30500,"(44.98485556, -93.10566994)"
705 MAGNOLIA AVE E,10/09/2019 12:00:00 AM,Single Family Residential,1,6,5,31000,"(44.9740077, -93.07065305)"
698 DESOTO ST,03/02/2012 12:00:00 AM,Duplex,2,5,5,33000,"(44.96227997, -93.08091425)"
885 MARGARET ST,02/05/2019 12:00:00 AM,Single Family Residential,1,7,4,33100,"(44.96133657, -93.06312513)"
1006 3RD ST E,10/31/2019 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95662718, -93.05797522)"
560 MENDOTA ST,11/06/2019 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95814154, -93.06331827)"
362 SHERBURNE AVE,09/17/2018 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95653018, -93.11544395)"
298 JENKS AVE,10/29/2019 12:00:00 AM,Duplex,1,5,5,30900,"(44.97084839, -93.08785107)"
595 PARK ST,11/21/2008 12:00:00 AM,Duplex,2,1,7,42800,"(44.95940389, -93.10399817)"
313 TOPPING ST,03/24/2020 12:00:00 AM,Duplex,1,1,6,31300,"(44.96760651, -93.11326298)"
1784 NORFOLK AVE,09/24/2013 12:00:00 AM,Single Family Residential,2,3,15,37602,"(44.89784472, -93.17574315)"
1825 UNIVERSITY AVE W,08/04/2016 12:00:00 AM,Commercial,2,4,11,31900,"(44.95635388, -93.17750637)"
1308 VICTORIA ST N,10/30/2001 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98060192, -93.13513166)"
132 WESTERN AVE S,10/08/2018 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93754175, -93.11584609)"
455 GRAND AVE,01/04/2019 12:00:00 AM,Single Family Residential,1,2,16,35800,"(44.93922831, -93.11933308)"
974 ARCADE ST,05/27/2016 12:00:00 AM,Commercial,2,6,5,31600,"(44.97066686, -93.06561004)"
1722 ARLINGTON AVE E,10/31/2013 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.98454502, -93.02758274)"
404 FRONT AVE APT 4,01/23/2020 12:00:00 AM,Multi-family Residential,1,1,6,31300,"(44.97005071, -93.11728005)"
575 MCKNIGHT ROAD S,11/15/2016 12:00:00 AM,Single Family Residential,2,7,1,37403,"(44.92404651, -93.00561997)"
523 BEAUMONT ST,09/26/2019 12:00:00 AM,Single Family Residential,1,5,5,33000,"(44.96177791, -93.07830021)"
530 GERANIUM AVE E,08/31/2012 12:00:00 AM,Single Family Residential,3,5,5,30900,"(44.97545624, -93.07805531)"
791 MINNEHAHA AVE W,02/14/2020 12:00:00 AM,Single Family Residential,1,1,7,32400,"(44.96311398, -93.13343796)"
